笑っている 2 13.93 
笑っている 19.702 24 
笑っている 24.941 31.86 
笑っている 37.72 38.99 
笑っている 83.07 100.03 
笑っている 106.16 108.141 
笑っている 130.79 132.39 
笑っている 142.2 151.62 
笑っている 253.29 257.336 
笑っている 274.9 275.868 
首を傾けている 83.41 84.13 
首を傾けている 106.29 107.449 
首を傾けている 126.88 127.71 
首を傾けている 131.45 132.204 
首を傾けている 157.34 158.6 
首を傾けている 170.75 171.764 
首を傾けている 338.71 339.786 
うなづいている 22.87 23.67 
うなづいている 43.174 45.04 
うなづいている 67.91 69.09 
うなづいている 73.82 75.38 
うなづいている 93.71 94.59 
うなづいている 116.68 117.31 
うなづいている 150.02 150.6 
うなづいている 180.95 181.87 
うなづいている 187.39 188.4 
うなづいている 196.82 198.341 
うなづいている 203.92 205.094 
うなづいている 257.14 258.25 
うなづいている 423.38 423.97 
ジェスチャーしている 422.15 424.5 
手を腰に当てている 132.91 150.76 
首を横に振っている 421.83 423.36 
話している 19.13 20.63 
話している 33.2 34.233 
話している 34.65 35.88 
話している 83.213 85.26 
話している 106.33 108.145 
話している 127.05 128.08 
話している 131.11 132.41 
話している 155.32 156.354 
話している 163.9 164.812 
話している 242.57 245.54 
話している 253.7 254.94 
話している 273.904 276.52 
話している 421.61 424.66 
aを見ている 2 3.16 A&B
aを見ている 3.16 13.55 箱&机
aを見ている 13.55 14.41 パスタ（A所持）&A
aを見ている 14.41 16.755 箱&C&D
aを見ている 16.755 19.357 パスタ（C所持）&C&机
aを見ている 19.357 22.391 パスタ（D所持）&D
aを見ている 22.391 22.909 D
aを見ている 22.909 24.015 パスタ（D所持）&D&パスタ（A所持）&A
aを見ている 24.015 26.337 机&パスタ（A所持）&A
aを見ている 26.337 27.291 A
aを見ている 27.291 39.079 机&パスタ（A所持）&A
aを見ている 39.079 42.02 A&白板
aを見ている 42.02 45.674 パスタ（机左前）&机&A
aを見ている 45.674 54.052 A&白板
aを見ている 54.052 63.288 A&白板
aを見ている 63.288 73.208 A&白板&パスタ（A所持）
aを見ている 73.208 77.514 A&D
aを見ている 77.514 78.726 A&白板
aを見ている 78.726 80.575 A&B&白板
aを見ている 80.575 87.98 A&白板
aを見ている 87.98 89.542 パスタ（D所持）&D
aを見ている 89.542 91.588 パスタ（D所持）&D&箱&机
aを見ている 91.588 98.45 パスタ（D所持）&パスタ（机左前）&机&D
aを見ている 98.45 99.724 机&パスタ（机左前）
aを見ている 99.724 100.902 A&パスタ（机左前）&机
aを見ている 100.902 104.628 パスタ（机左前）&パスタ（A所持）&机&A
aを見ている 104.628 109.788 パスタ（A所持）&A
aを見ている 109.788 120.093 箱&机&パスタ（机左前）&パスタ（B所持）&B
aを見ている 120.093 124.31 パスタ（机左前）&机
aを見ている 124.31 125.046 パスタ（B所持）&B&白板
aを見ている 125.046 127.863 A&B&白板
aを見ている 127.863 129.389 B&箱
aを見ている 129.389 143.081 A&白板
aを見ている 143.081 147.751 机&パスタ（机左前）
aを見ている 147.751 149.631 机&パスタ（机左前）&B
aを見ている 149.631 163.034 机&パスタ（机左前）
aを見ている 163.034 165.335 パスタ（机左前）&机&箱&D
aを見ている 165.335 167.182 A&B&白板
aを見ている 167.182 168.283 パスタ（机左前）&机&パスタ（D所持）
aを見ている 168.283 174.997 パスタ（机左前）&机
aを見ている 174.997 178.065 A&白板
aを見ている 178.065 189.216 机&パスタ（机左前）
aを見ている 189.216 191.27 A&白板
aを見ている 191.27 201.218 机&パスタ（机左前）
