笑っている 2.88 4.254 
笑っている 9.642 11.405 
笑っている 72.298 75.058 
笑っている 83.703 85.493 
笑っている 134.223 135.22 
笑っている 292.423 294.946 
首を傾けている 36.63 37.02 
首を傾けている 212.02 212.4 
首を傾けている 229.03 244.47 
うなづいている 44.42 44.92 
うなづいている 82.46 82.974 
うなづいている 187.73 188.23 
うなづいている 196.21 196.827 
うなづいている 255.34 256.23 
うなづいている 376.64 377.2 
手を腰に当てている 158.72 170.07 
手を腰に当てている 208.66 213 
手を腰に当てている 213.87 222.77 
手を腰に当てている 274.81 280.29 
手を腰に当てている 309.72 324.51 
手を腰に当てている 371.09 410.867 
手を腰に当てている 423.96 460.01 
話している 5.78 7.083 
話している 22.15 22.98 
話している 37.13 38.233 
話している 42.28 43.924 
話している 72.99 73.776 
話している 82.98 85.04 
話している 87.01 95.22 
話している 106.77 108.55 
話している 109.91 111.53 
話している 125.72 126.79 
話している 128.18 129.94 
話している 132.3 133.79 
話している 154.284 156.02 
話している 175.21 176.32 
話している 199.84 201.26 
話している 211.27 213.852 
話している 252.38 254.3 
話している 268.79 269.357 
話している 292.69 294.827 
話している 296.78 298.54 
話している 353.71 355.05 
話している 363.44 366.76 
話している 373.13 376.587 
話している 411.29 413.08 
話している 417.53 420.42 
話している 429.6 433.25 
話している 439.91 444.97 
aを見ている 2 3.62 A&B
aを見ている 3.62 5.69 机&箱&ハサミ
aを見ている 6.72 8.24 机&箱
aを見ている 8.24 9.25 机&箱&A
aを見ている 9.25 9.97 机
aを見ている 9.97 10.23 机&A&B&箱
aを見ている 10.23 10.94 机&箱&A
aを見ている 10.94 11.93 机&箱&A&パスタ（A所持）
aを見ている 11.93 14.01 A&パスタ（A所持）
aを見ている 14.01 14.655 箱&机
aを見ている 14.655 16.107 箱&C&D&机
aを見ている 16.107 20.116 パスタ（D所持）&D
aを見ている 20.116 20.876 机
aを見ている 20.876 22.211 パスタ（D所持）&机&箱
aを見ている 22.211 23.178 C
aを見ている 23.178 23.709 A&B
aを見ている 23.709 26.238 パスタ（D所持）&箱&机
aを見ている 26.238 26.738 箱&机&D
aを見ている 26.738 27.553 箱&パスタ（D所持）&D
aを見ている 27.553 30.72 パスタ（D所持）&D
aを見ている 30.72 35.261 A&B&白板
aを見ている 35.261 36.195 B&C
aを見ている 36.195 37.173 箱&机
aを見ている 37.173 40.039 机&A
aを見ている 40.039 53.741 A&白板
aを見ている 53.741 56.835 腕時計（D所持）
aを見ている 56.835 60.133 A&B&白板
aを見ている 60.133 62.96 A&白板
aを見ている 62.96 72.621 A&パスタ（A所持）&白板&B
aを見ている 72.621 74.045 C
aを見ている 74.045 84.518 A&B&白板
aを見ている 84.518 85.356 机&箱&B
aを見ている 85.356 86.512 机&箱&パスタ（B所持）&B
aを見ている 86.512 87.669 B&A
aを見ている 87.669 88.955 パスタ（B所持）&B&パスタ（D所持）&D
aを見ている 88.955 91.727 パスタ（D所持）&箱&机
aを見ている 91.727 92.336 A&B&白板
aを見ている 92.336 94.166 机&パスタ（机左前）
aを見ている 94.166 97.43 パスタ（D所持）&D&机&パスタ（机左前）
aを見ている 97.43 98.813 パスタ（机左前）&箱&机
aを見ている 98.813 100.156 A&白板
aを見ている 100.156 109.269 A&パスタ（A所持）&パスタ（机左前）&机
aを見ている 109.269 115.15 机&パスタ（机左前）
aを見ている 115.15 116.044 箱&机&D
aを見ている 116.044 116.772 A&白板
aを見ている 116.772 119.25 パスタ（机左前）&机
aを見ている 119.25 120.096 パスタ（机左前）&パスタ（B所持）&机
aを見ている 120.096 121.868 パスタ（机左前）&机
aを見ている 121.868 124.167 パスタ（机左前）&パスタ（B所持）&机
aを見ている 124.167 127.522 A&B&パスタ（B所持）
aを見ている 127.522 130.099 パスタ（机左前）&パスタ（B所持）&机
aを見ている 130.099 132.805 A&白板
aを見ている 132.805 134.307 A&パスタ（机左前）
aを見ている 134.307 142.14 A&B&白板
aを見ている 142.14 143.468 A&パスタ（机左前）&机&白板
aを見ている 145.449 146.619 パスタ（B所持）&箱&机
aを見ている 146.619 158.759 パスタ（机左前）&机
aを見ている 158.759 162.12 机&パスタ（机左前）
aを見ている 162.12 163.224 パスタ（机右後）&机
aを見ている 163.224 167.58 箱&パスタ（D所持）&机
aを見ている 167.58 169.037 机&箱
aを見ている 169.037 175.163 机&パスタ（机左前）
aを見ている 175.163 176.905 A&腕時計（A所持）&白板
aを見ている 181.31 182.719 A&B&白板
aを見ている 182.719 184.839 机&パスタ（机左前）&B&ハサミ
aを見ている 184.839 187.68 A&B&白板
aを見ている 187.68 188.744 A&机&パスタ（机左前）
aを見ている 188.744 189.137 机&パスタ（机右後）
aを見ている 189.137 190.475 A
aを見ている 190.475 198.09 A&パスタ（机左前）
aを見ている 198.09 202.88 A&B&白板
aを見ている 205.083 209.7 パスタ（机左前）&A&机
aを見ている 209.7 214.21 パスタ（机左前）&B&机&ハサミ
aを見ている 214.21 223.16 パスタ（机左前）&机
aを見ている 223.16 236.92 A&B&白板
aを見ている 236.92 246.315 A&パスタ（机左前）
aを見ている 246.315 247.222 A&B&白板
aを見ている 247.222 251.02 パスタ（机左前）&パスタ（A所持）&A&机
aを見ている 251.02 254.396 A&B&白板&パスタ（A所持）
